,Model,Year,Price,Transmission,Mileage,Fuel_type,Tax,Fuel_cons_mpg,Engine_size,Automatic,Manual,Semi-Auto
248, X3,2019,56000,Semi-Auto,26,2,145,24.8,3.0,0,0,1
249, 1 Series,2019,32000,Semi-Auto,4493,2,145,34.5,2.0,0,0,1
250, X1,2018,20000,Semi-Auto,10545,1,145,60.1,2.0,0,0,1
251, X1,2017,22000,Semi-Auto,16500,2,145,44.8,2.0,0,0,1
252, 3 Series,2016,16998,Semi-Auto,43695,3,0,134.5,2.0,0,0,1
253, X3,2015,17498,Semi-Auto,48867,1,145,54.3,2.0,0,0,1
254, 1 Series,2017,15798,Semi-Auto,23157,2,145,54.3,1.5,0,0,1
255, X1,2016,18998,Semi-Auto,30434,1,125,57.6,2.0,0,0,1
256, 3 Series,2015,20000,Semi-Auto,39700,1,160,50.4,3.0,0,0,1
257, 5 Series,2019,28000,Semi-Auto,5739,1,145,62.8,2.0,0,0,1
258, X5,2017,41500,Automatic,18000,1,145,42.8,3.0,1,0,0
259, 1 Series,2018,16000,Semi-Auto,24275,1,145,68.9,1.5,0,0,1
260, 4 Series,2017,20800,Semi-Auto,14774,1,125,58.9,2.0,0,0,1
261, 3 Series,2018,20500,Semi-Auto,12133,2,145,48.7,2.0,0,0,1
262, 1 Series,2017,15500,Manual,15645,2,125,52.3,1.5,0,1,0
263, X4,2016,25000,Semi-Auto,25085,1,200,47.9,3.0,0,0,1
264, 1 Series,2017,21500,Semi-Auto,19486,2,145,39.8,3.0,0,0,1
265, X2,2019,30000,Semi-Auto,5431,1,145,48.7,2.0,0,0,1
266, 7 Series,2020,53000,Semi-Auto,6555,1,145,42.2,3.0,0,0,1
267, 3 Series,2014,14000,Semi-Auto,73923,1,160,52.3,3.0,0,0,1
268, 1 Series,2018,25990,Semi-Auto,6500,2,150,32.5,3.0,0,0,1
269, X4,2018,32000,Semi-Auto,10920,1,150,42.8,2.0,0,0,1
270, 3 Series,2019,24300,Semi-Auto,8000,2,150,44.8,2.0,0,0,1
271, 5 Series,2019,33000,Semi-Auto,12250,1,150,53.3,3.0,0,0,1
272, X3,2016,20500,Semi-Auto,37000,1,145,54.3,2.0,0,0,1
273, 3 Series,2016,19000,Semi-Auto,40500,1,145,53.3,3.0,0,0,1
274, 3 Series,2017,18000,Semi-Auto,33000,1,145,60.1,2.0,0,0,1
275, M4,2020,51000,Semi-Auto,2000,2,145,32.5,3.0,0,0,1
276, X3,2015,16500,Semi-Auto,48000,1,145,54.3,2.0,0,0,1
277, 4 Series,2017,19800,Manual,17410,2,150,40.9,2.0,0,1,0
278, 1 Series,2017,13500,Manual,25975,2,145,53.3,1.5,0,1,0
279, 1 Series,2019,18500,Semi-Auto,12054,2,150,54.3,1.5,0,0,1
280, 1 Series,2014,9300,Manual,51203,1,30,65.7,2.0,0,1,0
281, X5,2019,50000,Semi-Auto,5145,1,150,37.7,3.0,0,0,1
282, 1 Series,2017,11800,Manual,23274,1,20,72.4,1.5,0,1,0
283, 4 Series,2018,22000,Semi-Auto,10948,1,145,60.1,2.0,0,0,1
284, 2 Series,2019,27500,Semi-Auto,7000,2,145,38.2,3.0,0,0,1
285, 5 Series,2019,28000,Semi-Auto,16000,1,145,60.1,3.0,0,0,1
286, 2 Series,2020,29000,Manual,5550,2,145,43.5,1.5,0,1,0
287, 3 Series,2014,16800,Semi-Auto,50687,1,160,52.3,3.0,0,0,1
288, 3 Series,2013,15500,Semi-Auto,46500,1,150,55.4,3.0,0,0,1
289, X1,2016,19300,Semi-Auto,25300,1,125,60.1,2.0,0,0,1
290, 1 Series,2017,16998,Semi-Auto,12458,1,30,62.8,2.0,0,0,1
291, 1 Series,2017,21498,Semi-Auto,21200,2,200,39.8,3.0,0,0,1
292, 4 Series,2016,18998,Semi-Auto,20151,1,145,53.3,3.0,0,0,1
293, X1,2017,18498,Manual,13278,1,125,58.9,2.0,0,1,0
294, 5 Series,2019,27000,Semi-Auto,9000,2,145,48.7,2.0,0,0,1
295, 2 Series,2018,18000,Semi-Auto,13174,1,145,49.6,2.0,0,0,1
296, 7 Series,2016,26000,Semi-Auto,39085,1,145,54.3,3.0,0,0,1
297, 3 Series,2017,25500,Semi-Auto,14834,1,145,51.4,3.0,0,0,1
298, 3 Series,2016,18000,Semi-Auto,15088,1,145,55.4,3.0,0,0,1
299, 1 Series,2017,16800,Semi-Auto,16761,1,145,67.3,2.0,0,0,1
300, 3 Series,2018,21300,Semi-Auto,18564,1,145,60.1,2.0,0,0,1
301, X2,2019,29000,Semi-Auto,1418,2,145,36.2,2.0,0,0,1
302, 3 Series,2019,34000,Semi-Auto,5525,1,145,50.4,2.0,0,0,1
303, 3 Series,2017,24000,Semi-Auto,15338,1,145,49.6,3.0,0,0,1
304, 3 Series,2013,14990,Semi-Auto,35500,1,145,55.4,2.0,0,0,1
305, 5 Series,2017,30000,Semi-Auto,11086,1,145,53.3,3.0,0,0,1
306, 1 Series,2018,15800,Semi-Auto,11132,2,145,55.5,1.5,0,0,1
307, 1 Series,2018,16500,Semi-Auto,7656,2,145,37.2,1.5,0,0,1
308, X3,2015,19500,Semi-Auto,41567,1,145,54.3,2.0,0,0,1
